# Iterative LetSee+Pluto on file corcol2.c
# version performance
1 6.945789s
2 7.107323s
3 7.003593s
4 7.178556s
5 7.136552s
6 6.996844s
7 7.161841s
8 2.305364s
9 21.884091s
10 20.692493s
11 21.230323s
12 7.149068s
13 20.613702s
14 21.667038s
15 21.883301s
16 2.189560s
17 2.278985s
18 22.078841s
19 22.022804s
20 21.105780s
21 21.736083s
22 21.617716s
23 7.326699s
24 20.665448s
25 20.424693s
26 21.794697s
27 2.292856s
28 2.363032s
29 20.824045s
30 21.495863s
31 21.296386s
32 21.822174s
33 20.465730s
34 6.809266s
35 21.016725s
36 16.487407s
37 20.701743s
38 19.858950s
39 18.259095s
40 18.400250s
41 20.890542s
42 18.692555s
43 19.527680s
44 20.971709s
45 6.966086s
46 20.895057s
47 21.812961s
48 6.962264s
49 7.223797s
50 7.100855s
51 7.623434s
52 7.236185s
