# Iterative LetSee+Pluto on file corcol2.c
# version performance
1 0.901925s
2 0.861757s
3 0.789802s
4 0.815647s
5 0.819358s
6 0.835745s
7 0.918346s
8 2.258557s
9 0.831576s
10 0.858396s
11 0.906897s
12 0.887136s
13 0.847137s
14 0.820535s
15 1.002909s
16 2.088365s
17 2.267431s
18 0.868581s
19 0.831553s
20 0.875269s
21 0.856727s
22 0.809707s
23 0.815413s
24 0.823440s
25 0.837585s
26 0.890418s
27 2.201146s
28 2.347288s
29 0.814159s
30 0.886775s
31 0.881504s
32 0.844797s
33 0.837375s
34 0.887277s
35 0.847087s
36 0.814816s
37 0.795708s
38 0.825794s
39 0.879094s
40 0.781191s
41 0.836645s
42 0.820794s
43 0.839891s
44 0.857746s
45 0.818194s
46 0.882591s
47 0.859754s
48 0.803371s
49 0.831154s
50 0.817823s
51 0.794947s
52 0.831896s
