# Iterative LetSee+Pluto on file corcol2.c
# version performance
1 0.812806s
2 0.744877s
3 0.878042s
4 0.635901s
5 0.668967s
6 0.715303s
7 0.667841s
8 1.074627s
9 0.731576s
10 0.732747s
11 0.751004s
12 0.732157s
13 0.656000s
14 0.737267s
15 0.674370s
16 1.201745s
17 1.162915s
18 0.716768s
19 0.837220s
20 0.671734s
21 0.678008s
22 0.785180s
23 0.801023s
24 0.734047s
25 0.662591s
26 0.753912s
27 1.098581s
28 1.149278s
29 0.998332s
30 0.638788s
31 0.649288s
32 0.677239s
33 0.682321s
34 0.659925s
35 0.658537s
36 0.650689s
37 0.754065s
38 0.677616s
39 0.764523s
40 0.733187s
41 0.784668s
42 0.711438s
43 0.701740s
44 0.874460s
45 0.679064s
46 0.852959s
47 0.704953s
48 0.802777s
49 0.661617s
50 0.688923s
51 0.798999s
52 0.748087s
